Ticul,Motul,80,Estafeta,Terrestre,23-01-2020 12:00:00
Merida,Tizimin,200,Estafeta,Marítimo,23-01-2020 12:00:00
Merida,Tizimin,200,Estafeta,Aéreo,23-03-2020 12:00:00
Ticul,Motul,80,Fedex,Terrestre,23-01-2020 12:00:00
Merida,Tizimin,200,Fedex,Marítimo,23-01-2020 12:00:00
Merida,Tizimin,200,Fedex,Aéreo,23-03-2020 12:00:00
Ticul,Motul,80,DHL,Terrestre,23-01-2020 12:00:00
Merida,Tizimin,200,DHL,Marítimo,23-01-2020 12:00:00
Merida,Tizimin,200,DHL,Aéreo,23-03-2020 12:00:00
Merida,Tizimin,200,MercadoLibre,Aéreo,23-03-2020 12:00:00
